timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
128317734,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128818231,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129324202,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129824619,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130333456,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130842237,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131351364,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131852204,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132353486,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132860163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133369527,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133871882,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134880247,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135382201,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136394243,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136904163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137404267,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137907449,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138417778,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138918276,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139421433,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139931350,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140950159,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141452166,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141960160,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142470205,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145013451,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145522399,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146027474,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146529314,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147037705,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147547730,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148057698,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148558411,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149069483,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
