timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
68447164,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68955978,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69459414,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69965724,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70472229,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70981412,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71488741,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71996817,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72498943,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73007198,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73517311,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74019037,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74526396,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75036160,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75539035,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76047163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76557429,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77569434,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78070171,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78581313,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79086168,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79587164,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80097492,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80607163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81110163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81612163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84148740,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84658887,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
