timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
68320869,68298163,3997706,22.06601,44.73,101060.25,1.200763
68371177,68350938,3997706,22.087149,44.719997,101060.0,1.20076
68421855,68404034,3997706,22.147923,44.73,101059.25,1.2007511
68482096,68459414,3997706,22.105644,44.73,101059.75,1.200757
68532498,68512196,3997706,22.087149,44.739998,101060.0,1.20076
68582682,68565010,3997706,22.044872,44.739998,101060.49,1.2007658
68643050,68620269,3997706,21.981457,44.739998,101061.24,1.2007748
68693268,68673003,3997706,21.68816,44.75,101064.75,1.2008164
68744633,68725767,3997706,22.06601,44.75,101060.24,1.2007629
68804427,68781061,3997706,21.899546,44.75,101062.24,1.2007866
68854475,68834281,3997706,21.918041,44.76,101062.0,1.2007837
68904769,68887052,3997706,22.232477,44.76,101058.24,1.2007391
68965113,68942385,3997706,22.023733,44.76,101060.76,1.200769
69015537,68995207,3997706,21.918041,44.77,101062.0,1.2007837
69065772,69048028,3997706,22.253614,44.77,101057.99,1.2007362
69126061,69103348,3997706,21.960318,44.77,101061.5,1.2007778
69176346,69156130,3997706,21.896902,44.77,101062.25,1.2007867
69226976,69209199,3997706,22.105644,44.78,101059.75,1.200757
69287323,69264592,3997706,21.960318,44.789997,101061.5,1.2007778
69337635,69317454,3997706,22.044872,44.789997,101060.5,1.200766
69388059,69370221,3997706,21.875763,44.789997,101062.5,1.2007897
69448329,69425512,3997706,21.960318,44.8,101061.5,1.2007778
69498469,69478271,3997706,22.06601,44.8,101060.25,1.200763
69548714,69531051,3997706,22.126783,44.8,101059.5,1.200754
69609473,69586421,3997706,21.81499,44.8,101063.25,1.2007986
69659729,69639498,3997706,22.105644,44.809998,101059.75,1.200757
69709993,69692262,3997706,21.941822,44.809998,101061.74,1.2007806
69770249,69747569,3997706,22.1902,44.82,101058.75,1.2007451
69820615,69800372,3997706,21.918041,44.809998,101062.0,1.2007837
69870885,69853133,3997706,22.023733,44.82,101060.74,1.2007688
69931123,69908423,3997706,22.253614,44.82,101057.99,1.2007362
69981478,69961261,3997706,22.211338,44.829998,101058.5,1.2007421
70032217,70014539,3997706,22.06601,44.829998,101060.25,1.200763
70092611,70069872,3997706,22.023733,44.829998,101060.76,1.200769
70143025,70122689,3997706,22.06601,44.84,101060.24,1.2007629
70193379,70175491,3997706,22.126783,44.84,101059.5,1.200754
70254119,70230766,3997706,21.941822,44.85,101061.74,1.2007806
70304272,70283549,3997706,22.044872,44.85,101060.49,1.2007658
70374079,70343836,3997706,21.952393,44.85,101061.6,1.200779
70424713,70404536,3997706,22.044872,44.85,101060.5,1.200766
70475001,70457308,3997706,21.899546,44.86,101062.24,1.2007866
70535544,70512670,3997706,21.896902,44.86,101062.26,1.2007868
70585694,70565514,3997706,22.023733,44.87,101060.74,1.2007688
70636083,70618298,3997706,22.044872,44.87,101060.5,1.200766
70696325,70673624,3997706,22.087149,44.87,101060.0,1.20076
70746634,70726434,3997706,21.918041,44.87,101062.0,1.2007837
70797298,70779627,3997706,22.023733,44.879997,101060.76,1.200769
70857678,70834948,3997706,21.960318,44.879997,101061.5,1.2007778
70908021,70887770,3997706,22.044872,44.89,101060.5,1.200766
70958390,70940540,3997706,22.002594,44.89,101061.0,1.2007718
71018551,70995829,3997706,21.960318,44.89,101061.5,1.2007778
71068852,71048621,3997706,22.002594,44.89,101061.0,1.2007718
71119049,71101388,3997706,22.002594,44.899998,101061.0,1.2007718
71179762,71156859,3997706,21.875763,44.91,101062.5,1.2007897
71230070,71209847,3997706,22.147923,44.91,101059.25,1.2007511
71280560,71262730,3997706,21.857267,44.91,101062.74,1.2007926
71340687,71318014,3997706,22.002594,44.91,101061.01,1.2007719
71391016,71370784,3997706,22.126783,44.91,101059.5,1.200754
71441236,71423571,3997706,22.169062,44.91,101059.0,1.2007481
71501543,71478855,3997706,21.93918,44.93,101061.75,1.2007807
71552285,71531727,3997706,22.126783,44.93,101059.5,1.200754
71602490,71584817,3997706,21.899546,44.93,101062.24,1.2007866
71662943,71640104,3997706,21.81499,44.93,101063.24,1.2007985
71713185,71692878,3997706,22.126783,44.93,101059.5,1.200754
71764429,71745639,3997706,22.105644,44.94,101059.75,1.200757
71824332,71800937,3997706,22.023733,44.94,101060.76,1.200769
71884373,71859745,3997706,22.103004,44.95,101059.8,1.2007576
71944234,71921508,3997706,22.087149,44.94,101060.0,1.20076
71995207,71974471,3997706,22.108288,44.95,101059.74,1.2007569
72065444,72035003,3997706,21.952393,44.96,101061.6,1.200779
72115580,72095382,3997706,22.06601,44.96,101060.24,1.2007629
72165825,72148155,3997706,21.941822,44.96,101061.74,1.2007806
72226187,72203462,3997706,21.81499,44.969997,101063.25,1.2007986
72276483,72256276,3997706,22.108288,44.969997,101059.74,1.2007569
72326779,72309055,3997706,22.126783,44.969997,101059.5,1.200754
72387572,72364451,3997706,21.918041,44.969997,101062.0,1.2007837
72437950,72417589,3997706,22.105644,44.98,101059.75,1.200757
72488063,72470394,3997706,22.023733,44.98,101060.75,1.200769
72548400,72525659,3997706,21.981457,44.989998,101061.24,1.2007748
72598696,72578446,3997706,22.087149,44.989998,101060.0,1.20076
72648913,72631231,3997706,21.93918,44.989998,101061.76,1.2007809
72709257,72686560,3997706,21.899546,45.0,101062.24,1.2007866
72759984,72739448,3997706,21.836128,45.0,101063.0,1.2007957
72810213,72792534,3997706,21.81499,45.0,101063.24,1.2007985
72870726,72847865,3997706,21.899546,45.01,101062.24,1.2007866
72920825,72900640,3997706,21.960318,45.01,101061.5,1.2007778
72971117,72953401,3997706,21.857267,45.01,101062.76,1.2007928
73031373,73008678,3997706,21.981457,45.01,101061.26,1.2007749
73081686,73061447,3997706,21.960318,45.02,101061.5,1.2007778
73131868,73114208,3997706,21.875763,45.02,101062.5,1.2007897
73192688,73169703,3997706,21.918041,45.03,101062.0,1.2007837
73242999,73222679,3997706,21.875763,45.03,101062.5,1.2007897
73293203,73275490,3997706,22.087149,45.03,101060.0,1.20076
73354079,73330759,3997706,21.899546,45.039997,101062.24,1.2007866
73404238,73383520,3997706,22.06601,45.039997,101060.24,1.2007629
73474050,73443821,3997706,22.002594,45.039997,101061.0,1.2007718
73524350,73504115,3997706,22.377804,45.039997,101056.49,1.2007183
73574664,73556891,3997706,22.087149,45.05,101060.0,1.20076
73635543,73612694,3997706,21.981457,45.05,101061.25,1.2007748
73685713,73665517,3997706,22.108288,45.05,101059.74,1.2007569
73736007,73718290,3997706,22.06601,45.059998,101060.25,1.200763
73796337,73773612,3997706,21.93918,45.059998,101061.76,1.2007809
73846602,73826432,3997706,22.044872,45.059998,101060.5,1.200766
73896862,73879196,3997706,21.960318,45.07,101061.5,1.2007778
73957231,73934498,3997706,21.875763,45.07,101062.5,1.2007897
74008063,73987727,3997706,22.232477,45.07,101058.24,1.2007391
74058388,74040532,3997706,21.93918,45.079998,101061.75,1.2007807
74118508,74095809,3997706,21.960318,45.079998,101061.5,1.2007778
74168823,74148606,3997706,21.93918,45.079998,101061.76,1.2007809
74219088,74201425,3997706,21.857267,45.09,101062.74,1.2007926
74279452,74256725,3997706,22.169062,45.09,101059.0,1.2007481
74329773,74309534,3997706,21.836128,45.09,101063.0,1.2007957
74380552,74362633,3997706,21.941822,45.1,101061.74,1.2007806
74440703,74418027,3997706,21.960318,45.1,101061.5,1.2007778
74490956,74470778,3997706,22.169062,45.11,101059.0,1.2007481
74541321,74523556,3997706,22.1902,45.11,101058.75,1.2007451
74601588,74578912,3997706,21.81499,45.12,101063.25,1.2007986
74651870,74631699,3997706,21.875763,45.11,101062.5,1.2007897
74702171,74684452,3997706,21.941822,45.12,101061.74,1.2007806
74763073,74739856,3997706,21.918041,45.12,101062.0,1.2007837
74813249,74792946,3997706,21.81499,45.12,101063.24,1.2007985
74864251,74845723,3997706,21.836128,45.129997,101063.0,1.2007957
74924288,74901035,3997706,21.878407,45.129997,101062.49,1.2007896
74984338,74959875,3997706,21.936537,45.14,101061.8,1.2007813
75044507,75021680,3997706,22.253614,45.14,101058.0,1.2007362
75094675,75074434,3997706,22.06601,45.14,101060.24,1.2007629
75145003,75127248,3997706,22.126783,45.14,101059.5,1.200754
75205694,75182987,3997706,22.126783,45.149998,101059.5,1.200754
75255943,75235770,3997706,22.002594,45.149998,101060.99,1.2007718
75306288,75288547,3997706,21.918041,45.149998,101062.0,1.2007837
75366563,75343862,3997706,21.93918,45.16,101061.75,1.2007807
75416789,75396622,3997706,22.002594,45.16,101061.0,1.2007718
75467046,75449390,3997706,21.68816,45.16,101064.75,1.2008164
75527524,75504686,3997706,21.878407,45.17,101062.49,1.2007896
75578204,75557853,3997706,22.087149,45.17,101060.0,1.20076
75628450,75610723,3997706,21.875763,45.17,101062.5,1.2007897
75688706,75666021,3997706,22.147923,45.18,101059.24,1.200751
75738992,75718799,3997706,22.126783,45.18,101059.5,1.200754
75789268,75771585,3997706,22.105644,45.19,101059.75,1.200757
75849563,75826868,3997706,22.044872,45.18,101060.5,1.200766
75899972,75879695,3997706,22.023733,45.19,101060.74,1.2007688
75950638,75932714,3997706,22.023733,45.19,101060.74,1.2007688
76010871,75988192,3997706,21.875763,45.2,101062.5,1.2007897
76061149,76040945,3997706,22.06601,45.2,101060.24,1.2007629
76111468,76093763,3997706,21.81499,45.2,101063.25,1.2007986
76171844,76149105,3997706,22.023733,45.2,101060.76,1.200769
76222059,76201860,3997706,21.875763,45.21,101062.5,1.2007897
76272351,76254659,3997706,21.981457,45.21,101061.26,1.2007749
76333253,76310114,3997706,21.793852,45.219997,101063.5,1.2008016
76384397,76363221,3997706,21.960318,45.219997,101061.5,1.2007778
76454203,76423555,3997706,22.068653,45.219997,101060.195,1.2007623
76504457,76483852,3997706,22.023733,45.23,101060.76,1.200769
76574355,76544137,3997706,21.754217,45.23,101063.99,1.2008075
76624626,76604439,3997706,21.875763,45.23,101062.5,1.2007897
76674978,76657206,3997706,22.044872,45.239998,101060.5,1.200766
76735249,76712510,3997706,22.002594,45.239998,101060.99,1.2007718
76785880,76765712,3997706,21.836128,45.25,101063.0,1.2007957
76836153,76818471,3997706,22.023733,45.25,101060.76,1.200769
76896529,76873758,3997706,21.857267,45.25,101062.74,1.2007926
76946789,76926550,3997706,21.960318,45.26,101061.5,1.2007778
76996989,76979321,3997706,21.857267,45.26,101062.75,1.2007927
77641275,77623599,3997706,22.002594,45.3,101061.0,1.2007718
77701778,77678954,3997706,22.06601,45.3,101060.25,1.200763
77751927,77731756,3997706,21.918041,45.3,101062.0,1.2007837
77802154,77784497,3997706,22.126783,45.3,101059.5,1.200754
