timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
65838211,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66342205,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67852278,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68353169,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68856488,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69358162,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69863168,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70365492,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70867177,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71371905,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71874162,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72375528,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72876323,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73383167,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73885518,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74394159,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74896486,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75397171,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75902274,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76405327,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76905482,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77407165,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77912021,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78422160,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78923295,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79425272,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79925585,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80427210,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80931720,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81433536,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81945228,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82447164,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82953197,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83456550,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85478162,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85991656,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86492058,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86993208,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87496396,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87998218,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88502277,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89006197,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89511671,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90017270,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90522194,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91027160,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91537448,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93052674,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93553203,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94053281,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94556504,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95062327,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95565523,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96067285,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96576413,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97078231,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97583220,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98085552,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98587279,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99092610,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100599289,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101102216,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101605469,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102108306,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102618164,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103125580,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103627287,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104132470,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104634024,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105136551,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105638204,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106142387,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106645543,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107148357,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107652067,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108153284,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108656435,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109158203,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109662306,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110165470,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110667172,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111673226,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112176511,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112678160,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113187168,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114193320,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114696500,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115198271,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115713193,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116216672,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116718163,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117229290,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117733162,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120256420,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120761528,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121263162,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
