timestamp,safety_switch_available,safety_off,override_available,override_enabled
65271355,1,1,1,0
66281626,1,1,1,0
68305455,1,1,1,0
69321584,1,1,1,0
70335514,1,1,1,0
71355380,1,1,1,0
72371469,1,1,1,0
73385491,1,1,1,0
74395466,1,1,1,0
75401476,1,1,1,0
76415514,1,1,1,0
77421536,1,1,1,0
78425761,1,1,1,0
79441194,1,1,1,0
80451546,1,1,1,0
81455848,1,1,1,0
82471767,1,1,1,0
83485662,1,1,1,0
84512713,1,1,1,0
85515683,1,1,1,0
86531515,1,1,1,0
87545491,1,1,1,0
88565418,1,1,1,0
89571693,1,1,1,0
90585616,1,1,1,0
91601433,1,1,1,0
93615762,1,1,1,0
94621402,1,1,1,0
95641315,1,1,1,0
96655882,1,1,1,0
97681519,1,1,1,0
98681587,1,1,1,0
100713145,1,1,1,0
101731657,1,1,1,0
102751693,1,1,1,0
103755582,1,1,1,0
104771614,1,1,1,0
105785502,1,1,1,0
106801606,1,1,1,0
107821736,1,1,1,0
108841292,1,1,1,0
109855769,1,1,1,0
110861199,1,1,1,0
111881274,1,1,1,0
112885382,1,1,1,0
113895386,1,1,1,0
114895540,1,1,1,0
115901394,1,1,1,0
116905521,1,1,1,0
117925607,1,1,1,0
120975532,1,1,1,0
121985517,1,1,1,0
123005618,1,1,1,0
124025667,1,1,1,0
125041518,1,1,1,0
126051643,1,1,1,0
127075708,1,1,1,0
128081267,1,1,1,0
129102677,1,1,1,0
130113081,1,1,1,0
131135408,1,1,1,0
132135535,1,1,1,0
133141446,1,1,1,0
134145544,1,1,1,0
135165549,1,1,1,0
136181602,1,1,1,0
137195417,1,1,1,0
138205571,1,1,1,0
139205634,1,1,1,0
140215496,1,1,1,0
143245747,1,1,1,0
144255795,1,1,1,0
145275701,1,1,1,0
146281402,1,1,1,0
147281555,1,1,1,0
148295491,1,1,1,0
149301734,1,1,1,0
150322681,1,1,1,0
152361139,1,1,1,0
153361208,1,1,1,0
154375437,1,1,1,0
155395597,1,1,1,0
156415624,1,1,1,0
157441517,1,1,1,0
158451547,1,1,1,0
159461596,1,1,1,0
160481936,1,1,1,0
161501437,1,1,1,0
162505594,1,1,1,0
163525535,1,1,1,0
164541094,1,1,1,0
166565497,1,1,1,0
167575452,1,1,1,0
168581477,1,1,1,0
171625861,1,1,1,0
172641443,1,1,1,0
173651631,1,1,1,0
174665466,1,1,1,0
175685547,1,1,1,0
176705332,1,1,1,0
177723024,1,1,1,0
178741566,1,1,1,0
179761171,1,1,1,0
180765646,1,1,1,0
181781581,1,1,1,0
182795708,1,1,1,0
185841459,1,1,1,0
186855410,1,1,1,0
187875404,1,1,1,0
188875615,1,1,1,0
189885556,1,1,1,0
190891531,1,1,1,0
191913224,1,1,1,0
192935635,1,1,1,0
193955618,1,1,1,0
194975858,1,1,1,0
198005476,1,1,1,0
199011952,1,1,1,0
200031481,1,1,1,0
201045505,1,1,1,0
202061415,1,1,1,0
203065657,1,1,1,0
204075561,1,1,1,0
205081565,1,1,1,0
206085602,1,1,1,0
207091979,1,1,1,0
209122772,1,1,1,0
210125486,1,1,1,0
211145459,1,1,1,0
212145654,1,1,1,0
213165525,1,1,1,0
214175629,1,1,1,0
215195596,1,1,1,0
216205674,1,1,1,0
217215601,1,1,1,0
218241303,1,1,1,0
219251961,1,1,1,0
220265401,1,1,1,0
221271626,1,1,1,0
222281549,1,1,1,0
223301445,1,1,1,0
224321413,1,1,1,0
225323005,1,1,1,0
226345596,1,1,1,0
228365539,1,1,1,0
229385510,1,1,1,0
230395604,1,1,1,0
231415390,1,1,1,0
232431442,1,1,1,0
233445580,1,1,1,0
234451620,1,1,1,0
235465623,1,1,1,0
236485937,1,1,1,0
237491573,1,1,1,0
238495587,1,1,1,0
239515601,1,1,1,0
240523029,1,1,1,0
241535366,1,1,1,0
243555574,1,1,1,0
244555627,1,1,1,0
245581193,1,1,1,0
246591573,1,1,1,0
248595582,1,1,1,0
249621589,1,1,1,0
250631922,1,1,1,0
251645496,1,1,1,0
252665615,1,1,1,0
253681647,1,1,1,0
256731650,1,1,1,0
257751529,1,1,1,0
258761531,1,1,1,0
259775462,1,1,1,0
260785555,1,1,1,0
261805508,1,1,1,0
262811627,1,1,1,0
263832031,1,1,1,0
264851474,1,1,1,0
265865623,1,1,1,0
266885435,1,1,1,0
267891581,1,1,1,0
268895723,1,1,1,0
269911543,1,1,1,0
270931572,1,1,1,0
271935781,1,1,1,0
272945681,1,1,1,0
273961386,1,1,1,0
274981304,1,1,1,0
276992065,1,1,1,0
277995524,1,1,1,0
279015628,1,1,1,0
280031925,1,1,1,0
281035557,1,1,1,0
282055562,1,1,1,0
283065544,1,1,1,0
284085522,1,1,1,0
285095680,1,1,1,0
286115595,1,1,1,0
287123065,1,1,1,0
289145650,1,1,1,0
290165511,1,1,1,0
291175405,1,1,1,0
292181450,1,1,1,0
293195507,1,1,1,0
294211510,1,1,1,0
295221426,1,1,1,0
296241741,1,1,1,0
297245690,1,1,1,0
298251644,1,1,1,0
299255543,1,1,1,0
301275650,1,1,1,0
302281649,1,1,1,0
303301259,1,1,1,0
304322657,1,1,1,0
305325411,1,1,1,0
306345515,1,1,1,0
307345734,1,1,1,0
308365562,1,1,1,0
309371475,1,1,1,0
310375558,1,1,1,0
313425545,1,1,1,0
314441411,1,1,1,0
315445492,1,1,1,0
316461405,1,1,1,0
317465767,1,1,1,0
318476153,1,1,1,0
319491523,1,1,1,0
320505520,1,1,1,0
321515566,1,1,1,0
322541201,1,1,1,0
324545778,1,1,1,0
325561441,1,1,1,0
326565627,1,1,1,0
327571573,1,1,1,0
328575619,1,1,1,0
329581120,1,1,1,0
330591496,1,1,1,0
